purchases_frequency,oneoff_share,cash_advance_ratio,oneoff_purchases_frequency,cluster,segment_name,description,recommended_action
-0.9515200629189922,-0.9517500580765804,-0.7519071313324821,-0.7398941579665655,1,Everyday Super Users,"Frequent small purchasers, avoid cash advances, often pay full, high credit limit.","Loyalty rewards, cashback, premium card upgrades, cross‑sell travel & insurance."
-1.3721036963659112,-0.9517500580765804,1.5964838557687837,-0.7398941579665655,2,Mixed Spenders with Cash Need,"High cash advance AND many big purchases, moderate payment behaviour.","Balance transfer offers, instalment plans, monitor for delinquency."
-1.1618131413908286,1.427420427218831,-0.7519071313324821,-0.4800467041014978,4,Big Ticket Spenders,"Infrequent but very large purchases, rarely use cash advances, high credit limit.","Encourage everyday use with bonus points, instalment options for large items."
1.1513930573220963,1.196455673443606,-0.7519071313324821,2.3782877611419244,3,High-Volume Balanced Spenders,"Extremely active, both small and large purchases, very few cash advances.","Premium cards, higher credit lines, concierge services, retention campaigns."
1.1513930573220963,-0.9517500580765804,-0.7519071313324821,-0.7398941579665655,1,Everyday Super Users,"Frequent small purchasers, avoid cash advances, often pay full, high credit limit.","Loyalty rewards, cashback, premium card upgrades, cross‑sell travel & insurance."
-0.5309389529688268,0.8750819240915952,-0.7519071313324821,-0.4800467041014978,4,Big Ticket Spenders,"Infrequent but very large purchases, rarely use cash advances, high credit limit.","Encourage everyday use with bonus points, instalment options for large items."
-0.9515200629189922,1.427420427218831,-0.7519071313324821,-0.2201961320545108,4,Big Ticket Spenders,"Infrequent but very large purchases, rarely use cash advances, high credit limit.","Encourage everyday use with bonus points, instalment options for large items."
-0.7412295079439094,1.427420427218831,-0.7519071313324821,0.0396513218105569,4,Big Ticket Spenders,"Infrequent but very large purchases, rarely use cash advances, high credit limit.","Encourage everyday use with bonus points, instalment options for large items."
1.1513930573220963,0.896755817470002,-0.7519071313324821,0.0396513218105569,3,High-Volume Balanced Spenders,"Extremely active, both small and large purchases, very few cash advances.","Premium cards, higher credit lines, concierge services, retention campaigns."
0.5205188689000944,-0.4844024662449203,-0.7519071313324821,-0.2201961320545108,1,Everyday Super Users,"Frequent small purchasers, avoid cash advances, often pay full, high credit limit.","Loyalty rewards, cashback, premium card upgrades, cross‑sell travel & insurance."
-1.3721036963659112,-0.9517500580765804,1.5964838557687837,-0.7398941579665655,2,Mixed Spenders with Cash Need,"High cash advance AND many big purchases, moderate payment behaviour.","Balance transfer offers, instalment plans, monitor for delinquency."
